HR,Name,Hours RA,Minutes RA,Seconds RA,Degrees Dec,Minutes Dec,Seconds Dec,VisualMag,B-V
15,21Alp And,00,08,23.3,+29,05,26,2.06,-0.11
21,11Bet Cas,00,09,10.7,+59,08,59,2.27,+0.34
39,88Gam Peg,00,13,14.2,+15,11,01,2.83,-0.23
98,Bet Hyi,00,25,45.1,-77,15,15,2.80,+0.62
99,Alp Phe,00,26,17.0,-42,18,22,2.39,+1.09
165,31Del And,00,39,19.7,+30,51,39,3.27,+1.28
168,18Alp Cas,00,40,30.5,+56,32,14,2.23,+1.17
188,16Bet Cet,00,43,35.4,-17,59,12,2.04,+1.02
219,24Eta Cas,00,49,06.0,+57,48,57,3.44,+0.57
264,27Gam Cas,00,56,42.5,+60,43,00,2.47,-0.15
322,Bet Phe,01,06,05.0,-46,43,07,3.31,+0.89
334,31Eta Cet,01,08,35.4,-10,10,56,3.45,+1.16
337,43Bet And,01,09,43.9,+35,37,14,2.06,+1.58
403,37Del Cas,01,25,49.0,+60,14,07,2.68,+0.13
424,1Alp UMi,02,31,48.7,+89,15,51,2.02,+0.60
429,Gam Phe,01,28,21.9,-43,19,06,3.41,+1.57
472,Alp Eri,01,37,42.9,-57,14,12,0.46,-0.16
542,45Eps Cas,01,54,23.7,+63,40,12,3.38,-0.15
544,2Alp Tri,01,53,04.9,+29,34,44,3.41,+0.49
553,6Bet Ari,01,54,38.4,+20,48,29,2.64,+0.13
591,Alp Hyi,01,58,46.2,-61,34,11,2.86,+0.28
603,57Gam1And,02,03,54.0,+42,19,47,2.26,+1.37
617,13Alp Ari,02,07,10.4,+23,27,45,2.00,+1.15
622,4Bet Tri,02,09,32.6,+34,59,14,3.00,+0.14
681,68Omi Cet,02,19,20.7,-02,58,39,3.04,+1.42
804,86Gam Cet,02,43,18.0,+03,14,09,3.47,+0.09
897,The1Eri,02,58,15.7,-40,18,17,3.24,+0.14
911,92Alp Cet,03,02,16.8,+04,05,23,2.53,+1.64
915,23Gam Per,03,04,47.8,+53,30,23,2.93,+0.70
921,25Rho Per,03,05,10.6,+38,50,25,3.39,+1.65
936,26Bet Per,03,08,10.1,+40,57,20,2.12,-0.05
1017,33Alp Per,03,24,19.4,+49,51,40,1.79,+0.48
1122,39Del Per,03,42,55.5,+47,47,15,3.01,-0.13
1165,25Eta Tau,03,47,29.1,+24,06,18,2.87,-0.09
1203,44Zet Per,03,54,07.9,+31,53,01,2.85,+0.12
1208,Gam Hyi,03,47,14.3,-74,14,20,3.24,+1.62
1220,45Eps Per,03,57,51.2,+40,00,37,2.89,-0.18
1231,34Gam Eri,03,58,01.8,-13,30,31,2.95,+1.59
1239,35Lam Tau,04,00,40.8,+12,29,25,3.47,-0.12
1336,Alp Ret,04,14,25.5,-62,28,26,3.35,+0.91
1412,78The2Tau,04,28,39.7,+15,52,15,3.40,+0.18
1457,87Alp Tau,04,35,55.2,+16,30,33,0.85,+1.54
1465,Alp Dor,04,33,59.8,-55,02,42,3.27,-0.10
1543,1Pi 3Ori,04,49,50.4,+06,57,41,3.19,+0.45
1577,3Iot Aur,04,56,59.6,+33,09,58,2.69,+1.53
1605,7Eps Aur,05,01,58.1,+43,49,24,2.99,+0.54
1641,10Eta Aur,05,06,30.9,+41,14,04,3.17,-0.18
1654,2Eps Lep,05,05,27.7,-22,22,16,3.19,+1.46
1666,67Bet Eri,05,07,51.0,-05,05,11,2.79,+0.13
1702,5Mu  Lep,05,12,55.9,-16,12,20,3.31,-0.11
1708,13Alp Aur,05,16,41.4,+45,59,53,0.08,+0.80
1713,19Bet Ori,05,14,32.3,-08,12,06,0.12,-0.03
1788,28Eta Ori,05,24,28.6,-02,23,49,3.36,-0.17
1790,24Gam Ori,05,25,07.9,+06,20,59,1.64,-0.22
1791,112Bet Tau,05,26,17.5,+28,36,27,1.65,-0.13
1829,9Bet Lep,05,28,14.7,-20,45,34,2.84,+0.82
1852,34Del Ori,05,32,00.4,-00,17,57,2.23,-0.22
1865,11Alp Lep,05,32,43.8,-17,49,20,2.58,+0.21
1899,44Iot Ori,05,35,26.0,-05,54,36,2.77,-0.24
1903,46Eps Ori,05,36,12.8,-01,12,07,1.70,-0.19
1910,123Zet Tau,05,37,38.7,+21,08,33,3.00,-0.19
1948,50Zet Ori,05,40,45.5,-01,56,34,2.05,-0.21
1956,Alp Col,05,39,38.9,-34,04,27,2.64,-0.12
2004,53Kap Ori,05,47,45.4,-09,40,11,2.06,-0.17
2040,Bet Col,05,50,57.6,-35,46,06,3.12,+1.16
2061,58Alp Ori,05,55,10.3,+07,24,25,0.50,+1.85
2088,34Bet Aur,05,59,31.7,+44,56,51,1.90,+0.03
2095,37The Aur,05,59,43.3,+37,12,45,2.62,-0.08
2216,7Eta Gem,06,14,52.6,+22,30,24,3.28,+1.60
2282,1Zet CMa,06,20,18.8,-30,03,48,3.02,-0.19
2286,13Mu  Gem,06,22,57.6,+22,30,49,2.88,+1.64
2294,2Bet CMa,06,22,42.0,-17,57,21,1.98,-0.23
2326,Alp Car,06,23,57.1,-52,41,45,-0.72,+0.15
2421,24Gam Gem,06,37,42.7,+16,23,57,1.93,0.00
2451,Nu  Pup,06,37,45.7,-43,11,46,3.17,-0.11
2473,27Eps Gem,06,43,55.9,+25,07,52,2.98,+1.40
2484,31Xi  Gem,06,45,17.4,+12,53,44,3.36,+0.43
2491,9Alp CMa,06,45,08.9,-16,42,58,-1.46,0.00
2550,Alp Pic,06,48,11.4,-61,56,29,3.27,+0.21
2553,Tau Pup,06,49,56.2,-50,36,53,2.93,+1.20
2618,21Eps CMa,06,58,37.5,-28,58,20,1.50,-0.21
2646,22Sig CMa,07,01,43.1,-27,56,05,3.47,+1.73
2653,24Omi2CMa,07,03,01.5,-23,50,00,3.02,-0.08
2693,25Del CMa,07,08,23.5,-26,23,36,1.84,+0.68
2773,Pi  Pup,07,17,08.6,-37,05,51,2.70,+1.62
2827,31Eta CMa,07,24,05.7,-29,18,11,2.45,-0.08
2845,3Bet CMi,07,27,09.0,+08,17,22,2.90,-0.09
2878,Sig Pup,07,29,13.8,-43,18,05,3.25,+1.51
2890,66Alp Gem,07,34,36.0,+31,53,19,2.88,+0.04
2891,66Alp Gem,07,34,36.0,+31,53,18,1.98,+0.03
2943,10Alp CMi,07,39,18.1,+05,13,30,0.38,+0.42
2990,78Bet Gem,07,45,18.9,+28,01,34,1.14,+1.00
3045,7Xi  Pup,07,49,17.7,-24,51,35,3.34,+1.24
3117,Chi Car,07,56,46.7,-52,58,56,3.47,-0.18
3165,Zet Pup,08,03,35.1,-40,00,12,2.25,-0.26
3185,15Rho Pup,08,07,32.6,-24,18,15,2.81,+0.43
3207,Gam2Vel,08,09,32.0,-47,20,12,1.78,-0.22
